dataset,prec_50,rec_50,f1_50,prec_60,rec_60,f1_60,prec_70,rec_70,f1_70,prec_80,rec_80,f1_80,prec_90,rec_90,f1_90,prec_100,rec_100,f1_100
SEIR015_sl1000_mr025_nv10_7,0.889,0.889,0.889,0.889,0.889,0.889,0.857,0.667,0.75,0.857,0.667,0.75,0.857,0.667,0.75,0.857,0.667,0.75
SEIR015_sl1000_mr025_nv10_8,1,0.85,0.919,1,0.8,0.889,1,0.7,0.824,1,0.7,0.824,1,0.65,0.788,1,0.65,0.788
SEIR015_sl1000_mr025_nv10_9,0.925,0.875,0.899,0.96,0.857,0.906,0.971,0.607,0.747,1,0.536,0.698,1,0.536,0.698,1,0.536,0.698
SEIR015_sl1000_mr025_nv20_1,0.667,0.667,0.667,0.692,0.6,0.643,0.667,0.4,0.5,0.625,0.333,0.435,0.714,0.333,0.455,0.714,0.333,0.455
SEIR015_sl1000_mr025_nv20_10,0.7,0.778,0.737,0.667,0.667,0.667,0.667,0.444,0.533,0.667,0.444,0.533,0.667,0.444,0.533,0.6,0.333,0.429
SEIR015_sl1000_mr025_nv20_11,0.833,0.769,0.8,0.833,0.769,0.8,0.818,0.692,0.75,0.8,0.615,0.696,0.8,0.615,0.696,0.8,0.615,0.696
SEIR015_sl1000_mr025_nv20_12,0.48,0.6,0.533,0.545,0.6,0.571,0.526,0.5,0.513,0.526,0.5,0.513,0.556,0.5,0.526,0.667,0.5,0.571
SEIR015_sl1000_mr025_nv20_13,0.571,0.889,0.696,0.571,0.889,0.696,0.538,0.778,0.636,0.545,0.667,0.6,0.6,0.667,0.632,0.556,0.556,0.556
SEIR015_sl1000_mr025_nv20_14,0.889,0.727,0.8,0.889,0.727,0.8,0.867,0.591,0.703,0.8,0.364,0.5,0.8,0.364,0.5,0.8,0.364,0.5
SEIR015_sl1000_mr025_nv20_15,0.643,0.75,0.692,0.643,0.75,0.692,0.636,0.583,0.609,0.619,0.542,0.578,0.684,0.542,0.605,0.684,0.542,0.605
SEIR015_sl1000_mr025_nv20_16,0.862,0.833,0.847,0.889,0.8,0.842,0.92,0.767,0.836,0.909,0.667,0.769,0.909,0.667,0.769,0.909,0.667,0.769
SEIR015_sl1000_mr025_nv20_17,0.852,0.821,0.836,0.882,0.804,0.841,0.846,0.589,0.695,0.818,0.482,0.607,0.818,0.482,0.607,0.818,0.482,0.607
SEIR015_sl1000_mr025_nv20_18,0.651,0.718,0.683,0.651,0.718,0.683,0.605,0.59,0.597,0.606,0.513,0.556,0.606,0.513,0.556,0.606,0.513,0.556
SEIR015_sl1000_mr025_nv20_19,0.429,0.545,0.48,0.429,0.545,0.48,0.5,0.364,0.421,0.5,0.273,0.353,0.5,0.273,0.353,0.5,0.273,0.353
SEIR015_sl1000_mr025_nv20_2,0.917,0.88,0.898,0.913,0.84,0.875,0.895,0.68,0.773,0.941,0.64,0.762,0.941,0.64,0.762,0.941,0.64,0.762
SEIR015_sl1000_mr025_nv20_20,0.667,0.526,0.588,0.667,0.526,0.588,0.643,0.474,0.545,0.643,0.474,0.545,0.643,0.474,0.545,0.643,0.474,0.545
SEIR015_sl1000_mr025_nv20_3,0.703,0.682,0.692,0.717,0.652,0.683,0.765,0.591,0.667,0.81,0.515,0.63,0.81,0.515,0.63,0.81,0.515,0.63
SEIR015_sl1000_mr025_nv20_4,0.846,0.667,0.746,0.846,0.667,0.746,0.818,0.545,0.655,0.778,0.424,0.549,0.765,0.394,0.52,0.765,0.394,0.52
SEIR015_sl1000_mr025_nv20_5,0.943,0.846,0.892,0.939,0.795,0.861,0.926,0.641,0.758,0.905,0.487,0.633,0.905,0.487,0.633,0.905,0.487,0.633
SEIR015_sl1000_mr025_nv20_6,0.738,0.816,0.775,0.718,0.737,0.727,0.786,0.579,0.667,0.792,0.5,0.613,0.792,0.5,0.613,0.792,0.5,0.613
SEIR015_sl1000_mr025_nv20_7,0.968,0.833,0.896,1,0.806,0.892,1,0.806,0.892,1,0.722,0.839,1,0.722,0.839,1,0.722,0.839
SEIR015_sl1000_mr025_nv20_8,0.662,0.701,0.681,0.758,0.701,0.729,0.827,0.642,0.723,0.82,0.612,0.701,0.854,0.612,0.713,0.872,0.612,0.719
SEIR015_sl1000_mr025_nv20_9,0.571,0.444,0.5,0.667,0.444,0.533,0.667,0.333,0.444,0.667,0.222,0.333,1,0.222,0.364,1,0.222,0.364
SEIR015_sl1000_mr025_nv5_1,1,0.643,0.783,1,0.643,0.783,1,0.071,0.133,1,0.071,0.133,1,0.071,0.133,1,0.071,0.133
